州府ID,城区等级,州府类型,配置ID
1,1,外圈1区,1
1,2,外圈1区,2
1,3,外圈1区,3
1,4,外圈1区,4
1,5,外圈1区,5
1,6,外圈1区,6
1,7,外圈1区,7
1,8,外圈1区,8
1,9,外圈1区,9
1,10,外圈1区,10
2,1,外圈2区,1
2,2,外圈2区,2
2,3,外圈2区,3
2,4,外圈2区,4
2,5,外圈2区,5
2,6,外圈2区,6
2,7,外圈2区,7
2,8,外圈2区,8
2,9,外圈2区,9
2,10,外圈2区,10
3,1,外圈3区,1
3,2,外圈3区,2
3,3,外圈3区,3
3,4,外圈3区,4
3,5,外圈3区,5
3,6,外圈3区,6
3,7,外圈3区,7
3,8,外圈3区,8
3,9,外圈3区,9
3,10,外圈3区,10
4,1,外圈4区,1
4,2,外圈4区,2
4,3,外圈4区,3
4,4,外圈4区,4
4,5,外圈4区,5
4,6,外圈4区,6
4,7,外圈4区,7
4,8,外圈4区,8
4,9,外圈4区,9
4,10,外圈4区,10
5,1,外圈5区,1
5,2,外圈5区,2
5,3,外圈5区,3
5,4,外圈5区,4
5,5,外圈5区,5
5,6,外圈5区,6
5,7,外圈5区,7
5,8,外圈5区,8
5,9,外圈5区,9
5,10,外圈5区,10
6,1,外圈6区,1
6,2,外圈6区,2
6,3,外圈6区,3
6,4,外圈6区,4
6,5,外圈6区,5
6,6,外圈6区,6
6,7,外圈6区,7
6,8,外圈6区,8
6,9,外圈6区,9
6,10,外圈6区,10
7,1,中圈1区,11
7,2,中圈1区,12
7,3,中圈1区,13
7,4,中圈1区,14
7,5,中圈1区,15
7,6,中圈1区,16
7,7,中圈1区,17
7,8,中圈1区,18
7,9,中圈1区,19
7,10,中圈1区,20
8,1,中圈2区,11
8,2,中圈2区,12
8,3,中圈2区,13
8,4,中圈2区,14
8,5,中圈2区,15
8,6,中圈2区,16
8,7,中圈2区,17
8,8,中圈2区,18
8,9,中圈2区,19
8,10,中圈2区,20
9,1,中圈3区,11
9,2,中圈3区,12
9,3,中圈3区,13
9,4,中圈3区,14
9,5,中圈3区,15
9,6,中圈3区,16
9,7,中圈3区,17
9,8,中圈3区,18
9,9,中圈3区,19
9,10,中圈3区,20
10,1,内圈1区,21
10,2,内圈1区,22
10,3,内圈1区,23
10,4,内圈1区,24
10,5,内圈1区,25
10,6,内圈1区,26
10,7,内圈1区,27
10,8,内圈1区,28
10,9,内圈1区,29
10,10,内圈1区,30
